#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
data/genomes/EAEC_042.fasta	NC_017626.1	2275160	2276464	-	ybtS	1-1305/1305	===============	0/0	100.00	99.77	vfdb	WP_000703040	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
data/genomes/EAEC_042.fasta	NC_017626.1	2276492	2277772	-	ybtX	1-1281/1281	===============	0/0	100.00	99.61	vfdb	WP_001286280	(ybtX) putative signal transducer [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
data/genomes/EAEC_042.fasta	NC_017626.1	2277765	2279567	-	ybtQ	1-1803/1803	===============	0/0	100.00	99.78	vfdb	WP_002212761	(ybtQ) yersiniabactin ABC transporter ATP-binding/permease protein YbtQ [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
data/genomes/EAEC_042.fasta	NC_017626.1	2279554	2281266	-	ybtP	1-1713/1713	===============	0/0	100.00	99.71	vfdb	WP_001327262	(ybtP) yersiniabactin ABC transporter ATP-binding/permease protein YbtP [Ybt (VF0564) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
data/genomes/EAEC_042.fasta	NC_017626.1	2281523	2282482	+	ybtA	1-960/960	===============	0/0	100.00	99.48	vfdb	WP_000140406	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
data/genomes/EAEC_042.fasta	NC_017626.1	2282673	2288780	+	irp2	1-6108/6108	===============	0/0	100.00	99.49	vfdb	WP_002212775	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
data/genomes/EAEC_042.fasta	NC_017626.1	2288868	2298359	+	irp1	1-9492/9492	===============	0/0	100.00	99.70	vfdb	WP_002212777	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
data/genomes/EAEC_042.fasta	NC_017626.1	2298356	2299456	+	ybtU	1-1101/1101	===============	0/0	100.00	99.64	vfdb	WP_000982866	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
data/genomes/EAEC_042.fasta	NC_017626.1	2299453	2300256	+	ybtT	1-804/804	===============	0/0	100.00	99.75	vfdb	WP_002212799	(ybtT) type II thioesterase YbtT [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
data/genomes/EAEC_042.fasta	NC_017626.1	2300260	2301837	+	ybtE	1-1578/1578	===============	0/0	100.00	99.81	vfdb	WP_001088826	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
data/genomes/EAEC_042.fasta	NC_017626.1	2301968	2303989	+	fyuA/psn	1-2022/2022	===============	0/0	100.00	99.90	vfdb	WP_002212885	(fyuA/psn) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136) - Nutritional/Metabolic factor (VFC0272)] [Yersinia pestis CO92]	
data/genomes/EAEC_042.fasta	NC_017626.1	3127018	3128009	-	rpoS	2-993/993	===============	0/0	99.90	92.64	vfdb	NP_461845	(rpoS) RNA polymerase sigma factor RpoS [RpoS (VF0112) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
data/genomes/EAEC_042.fasta	NC_017626.1	3442891	3443874	+	kpsF	1-984/984	===============	0/0	100.00	99.19	vfdb	WP_001331698	(kpsF) Polysialic acid capsule expression protein [K1 capsule (VF0239) - Invasion (VFC0083)] [Escherichia coli O45:K1:H7 str. S88]	
data/genomes/EAEC_042.fasta	NC_017626.1	3443946	3445094	+	kpsE	1-1149/1149	===============	0/0	100.00	98.69	vfdb	WP_000905916	(kpsE) Capsule polysaccharide export inner-membrane protein [K1 capsule (VF0239) - Invasion (VFC0083)] [Escherichia coli O45:K1:H7 str. S88]	
data/genomes/EAEC_042.fasta	NC_017626.1	3445118	3446794	+	kpsD	1-1677/1677	===============	0/0	100.00	98.45	vfdb	WP_001331697	(kpsD) Polysialic acid transport protein precursor [K1 capsule (VF0239) - Invasion (VFC0083)] [Escherichia coli O45:K1:H7 str. S88]	
data/genomes/EAEC_042.fasta	NC_017626.1	3446804	3447544	+	kpsU	1-741/741	========/======	3/10	99.33	94.24	vfdb	WP_000030755	(kpsU) 3-deoxy-manno-octulosonate cytidylyltransferase [K1 capsule (VF0239) - Invasion (VFC0083)] [Escherichia coli O45:K1:H7 str. S88]	
data/genomes/EAEC_042.fasta	NC_017626.1	3447541	3449568	+	kpsC	1-2028/2028	===============	0/0	100.00	96.30	vfdb	WP_000579525	(kpsC) Capsule polysaccharide export protein [K1 capsule (VF0239) - Invasion (VFC0083)] [Escherichia coli O45:K1:H7 str. S88]	
data/genomes/EAEC_042.fasta	NC_017626.1	3449603	3450774	+	kpsS	1-1172/1206	===============	0/0	97.18	96.08	vfdb	WP_001161829	(kpsS) Capsule polysaccharide export protein [K1 capsule (VF0239) - Invasion (VFC0083)] [Escherichia coli O45:K1:H7 str. S88]	
data/genomes/EAEC_042.fasta	NC_017626.1	3457805	3458581	-	kpsM	1-777/777	===============	0/0	100.00	94.08	vfdb	WP_000124301	(kpsM) Polysialic acid transport protein [K1 capsule (VF0239) - Invasion (VFC0083)] [Escherichia coli O45:K1:H7 str. S88]	
data/genomes/EAEC_042.fasta	NC_017626.1	3459638	3460173	-	gspM	1-536/537	===============	0/0	99.81	96.27	vfdb		(gspM) general secretion pathway protein M [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
data/genomes/EAEC_042.fasta	NC_017626.1	3460175	3461353	-	gspL	1-1179/1179	===============	0/0	100.00	95.17	vfdb	WP_000097229	(gspL) general secretion pathway protein L [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
data/genomes/EAEC_042.fasta	NC_017626.1	3461350	3462327	-	gspK	1-978/978	===============	0/0	100.00	94.99	vfdb	WP_000633233	(gspK) general secretion pathway protein K [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
data/genomes/EAEC_042.fasta	NC_017626.1	3462324	3462929	-	gspJ	1-606/606	===============	0/0	100.00	94.39	vfdb	WP_001250462	(gspJ) general secretion pathway protein J [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
data/genomes/EAEC_042.fasta	NC_017626.1	3462926	3463297	-	gspI	1-372/372	===============	0/0	100.00	92.47	vfdb	WP_000820136	(gspI) general secretion pathway protein I [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
data/genomes/EAEC_042.fasta	NC_017626.1	3463294	3463857	-	gspH	1-564/564	===============	0/0	100.00	94.86	vfdb	WP_001115126	(gspH) general secretion pathway protein H [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
data/genomes/EAEC_042.fasta	NC_017626.1	3463861	3464316	-	gspG	1-456/456	===============	0/0	100.00	97.15	vfdb	WP_001087302	(gspG) general secretion pathway protein G [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
data/genomes/EAEC_042.fasta	NC_017626.1	3464357	3465556	-	gspF	1-1200/1200	===============	0/0	100.00	94.67	vfdb	WP_001173470	(gspF) general secretion pathway protein F [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
data/genomes/EAEC_042.fasta	NC_017626.1	3465556	3467049	-	gspE	1-1494/1494	===============	0/0	100.00	95.31	vfdb	WP_000249362	(gspE) general secretion pathway protein E [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
data/genomes/EAEC_042.fasta	NC_017626.1	3467049	3469109	-	gspD	1-2046/2046	========/======	1/15	100.00	96.46	vfdb	WP_000498818	(gspD) general secretion pathway protein D [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
data/genomes/EAEC_042.fasta	NC_017626.1	3469139	3470098	-	gspC	1-960/960	===============	0/0	100.00	96.25	vfdb	WP_000135089	(gspC) general secretion pathway protein C [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
data/genomes/EAEC_042.fasta	NC_017626.1	4023054	4024082	-	chuS	1-1029/1029	===============	0/0	100.00	96.60	vfdb	WP_001017167	(chuS) heme oxygenase ChuS [Chu (VF0234) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	4024131	4026113	-	chuA	1-1983/1983	===============	0/0	100.00	98.34	vfdb	WP_000089593	(chuA) Outer membrane heme/hemoglobin receptor ChuA [Chu (VF0234) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	4026797	4027711	+	chuT	1-915/915	===============	0/0	100.00	98.25	vfdb	WP_001302516	(chuT) periplasmic heme-binding protein ChuT [Chu (VF0234) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	4027731	4029068	+	chuW	1-1338/1338	===============	0/0	100.00	97.61	vfdb	WP_000993317	(chuW) Putative oxygen independent coproporphyrinogen III oxidase [Chu (VF0234) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	4029081	4029575	+	chuX	1-495/495	===============	0/0	100.00	97.17	vfdb	WP_000020049	(chuX) putative heme-binding protein ChuX [Chu (VF0234) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	4029575	4030198	+	chuY	1-624/624	===============	0/0	100.00	97.44	vfdb	WP_000189352	(chuY) ChuY [Chu (VF0234) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	4030247	4031239	+	chuU	1-993/993	===============	0/0	100.00	96.88	vfdb	WP_000910402	(chuU) heme permease protein ChuU [Chu (VF0227) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	4031236	4032006	+	shuV	1-771/771	===============	0/0	100.00	98.96	vfdb	WP_001626196	(shuV) ATP-binding component of hemin transport system [Shu (VF0256) - Nutritional/Metabolic factor (VFC0272)] [Shigella dysenteriae Sd197]	
data/genomes/EAEC_042.fasta	NC_017626.1	4334993	4337401	-	espY4	1-2409/2409	===============	0/0	100.00	96.39	vfdb	WP_000225947	(espY4) Type III secretion system effector EspY4 [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	4449933	4451361	-	aslA	1-1428/1428	========/======	1/1	100.00	96.71	vfdb	AAG10151	(aslA) putative arylsulfatase [AslA (VF0238) - Invasion (VFC0083)] [Escherichia coli O18:K1:H7 str. RS218]	
data/genomes/EAEC_042.fasta	NC_017626.1	4623471	4625204	-	ibeC	1-1734/1734	===============	0/0	100.00	97.46	vfdb	WP_000556298	(ibeC) phosphoethanolamine transferase CptA [Ibes (VF0237) - Invasion (VFC0083)] [Escherichia coli O45:K1:H7 str. S88]	
data/genomes/EAEC_042.fasta	NC_017626.1	4694328	4696514	-	espL4	1-2187/2187	===============	0/0	100.00	97.30	vfdb	WP_000627910	(espL4) Type III secretion system effector EspL4 [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	4728691	4730271	+	espX4	1-1581/1581	===============	0/0	100.00	96.08	vfdb	WP_000900547	(espX4) Type III secretion system effector EspX4 [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	4759799	4761091	-	espX5	1-1293/1293	===============	0/0	100.00	96.75	vfdb	WP_001270087	(espX5) Type III secretion system effector EspX5 [TTSS secreted effectors (VF1111) - Effector delivery system (VFC0086)] [Escherichia coli O55:H7 str. CB9615]	
data/genomes/EAEC_042.fasta	NC_017626.1	4924840	4928958	-	pic	1-4119/4119	===============	0/0	100.00	100.00	vfdb	WP_001045649	(pic) Pic serine protease precursor autotransporter [Pic (VF0218) - Effector delivery system (VFC0086)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	4520	5650	+	aatP	1-1131/1131	===============	0/0	100.00	100.00	vfdb	WP_000209220	(aatP) permease AatP [Dispersin (VF0215) - Others (VFC0346)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	5647	6885	+	aatA	1-1239/1239	===============	0/0	100.00	100.00	vfdb	WP_001216023	(aatA) outer membrane protein AatA [Dispersin (VF0215) - Others (VFC0346)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	6782	7603	+	aatB	1-822/822	===============	0/0	100.00	100.00	vfdb	WP_032490785	(aatB) AatB [Dispersin (VF0215) - Others (VFC0346)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	7596	8225	+	aatC	1-630/630	===============	0/0	100.00	100.00	vfdb	WP_000621745	(aatC) ATP-binding protein AatC [Dispersin (VF0215) - Others (VFC0346)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	8237	9451	+	aatD	1-1215/1215	===============	0/0	100.00	100.00	vfdb	WP_014639418	(aatD) AatD [Dispersin (VF0215) - Others (VFC0346)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	22554	22994	-	aafB	1-441/441	===============	0/0	100.00	100.00	vfdb	WP_000715633	(aafB) invasin homolog AafB [AAFs (VF0214) - Adherence (VFC0001)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	23011	25536	-	aafC	1-2526/2526	===============	0/0	100.00	100.00	vfdb	WP_049794100	(aafC) aggregative adherence fimbria II usher protein AafC [AAFs (VF0214) - Adherence (VFC0001)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	28073	31960	+	pet	1-3888/3888	===============	0/0	100.00	100.00	vfdb	WP_014639426	(pet) Pet serine protease precursor autotransporter [Pet (VF0217) - Effector delivery system (VFC0086)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	32628	32744	-	east1	1-117/117	===============	0/0	100.00	100.00	vfdb	BAA94855	(east1) heat-stable enterotoxin 1 [EAST1 (VF0216) - Exotoxin (VFC0235)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	38499	39248	+	aafD	1-750/750	===============	0/0	100.00	100.00	vfdb	WP_014639428	(aafD) chaperone protein AafD [AAFs (VF0214) - Adherence (VFC0001)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	39652	40134	+	aafA	1-483/483	===============	0/0	100.00	100.00	vfdb	WP_014639430	(aafA) major fimbrial subunit of aggregative adherence fimbria II AafA [AAFs (VF0214) - Adherence (VFC0001)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	42684	43034	-	aap	1-351/351	===============	0/0	100.00	100.00	vfdb	WP_000721278	(aap) dispersin [Dispersin (VF0215) - Others (VFC0346)] [Escherichia coli O44:H18 042]	
data/genomes/EAEC_042.fasta	NC_017627.1	82174	82778	-	AAA92657	1-606/606	========/======	1/1	99.83	99.83	vfdb	AAA92657	(AAA92657) unknown protein [TraJ (VF0241) - Invasion (VFC0083)] [Escherichia coli]	
data/genomes/EHEC_EDL933.fasta	NC_002655.2	23330	24751	-	espX1	1-1422/1422	===============	0/0	100.00	100.00	vfdb	WP_000129338	(espX1) Type III secretion system effector EspX1 [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EHEC_EDL933.fasta	NC_002655.2	63450	64202	+	espY1	1-753/753	===============	0/0	100.00	100.00	vfdb	WP_001304001	(espY1) Type III secretion system effector EspY1 [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EHEC_EDL933.fasta	NC_002655.2	80672	81241	+	espY2	1-570/570	===============	0/0	100.00	100.00	vfdb	WP_000868321	(espY2) Type III secretion system effector EspY2 [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
